epoch,mel_loss,gen_loss
1,145.77841186523438,174.97805108348638
2,139.5817413330078,167.51468736986521
3,133.7048797607422,160.4830457925013
4,128.0985107421875,153.7435688534081
5,122.71820831298828,147.28808391896877
6,117.51305389404297,141.03290314645272
7,112.42950439453125,134.92338002741658
8,107.43074798583984,128.94868003949597
9,102.48623657226562,123.01081165235689
10,97.58021545410156,117.09680064207964
11,92.71774291992188,111.29977614769186
12,87.90985870361328,105.50505892140565
13,83.18141174316406,99.82256092708315
14,78.55642700195312,94.28544152834604
15,74.06107330322266,88.91900772893396
16,69.71980285644531,83.67895060015763
17,65.55049896240234,78.70696104620075
18,61.569034576416016,73.91921584709901
19,57.79539108276367,69.36232785643467
20,54.253082275390625,65.11297161331831
